Seventh Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA 2008),2008,A. Molesini; A. Garcia; C. v. F. G. Chavez; T. Batista,On the Quantitative Analysis of Architecture Stability in Aspectual Decompositions,10.1109/WICSA.2008.26,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4459141,Yes,Yes,Yes,Both,,,,,,,
ECSA,2008,Banani RoyT. C. Nicholas Graham,An Iterative Framework for Software Architecture Recovery: An Experience Report,10.1007/978-3-540-88030-1_16,http://link.springer.com/chapter/10.1007/978-3-540-88030-1_16,Yes,Yes,No,Mohamed,,,,,,,
2009 6th IEEE International Working Conference on [::Mining::] [::Software::] [::Repositories::],2009,P. van de Laar,On the transfer of evolutionary couplings to industry,10.1109/MSR.2009.5069502,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5069502,Yes,Yes,No,Michel,[Support_architectural_program_comprehension][Achieve_quality_attributes][Support_software_process],[Evaluate_approach],,,,,
2009 Joint Working IEEE/IFIP Conference on [::Software::] [::Architecture::] & European Conference on [::Software::] [::Architecture::],2009,N. A. Aboud; G. Arevalo; J. Falleri; M. Huchard; C. Tibermacine; C. Urtado; S. Vauttier,Automated architectural component classification using concept lattices,10.1109/WICSA.2009.5290788,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5290788,Yes,Yes,No,Mohamed,,,,,,,
2010 7th IEEE Working Conference on [::Mining::] [::Software::] [::Repositories::] (MSR 2010),2010,D. Posnett; C. Bird; P. Devanbu,THEX: Mining metapatterns from java,10.1109/MSR.2010.5463349,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5463349,Yes,Yes,Yes,Both,,,,,,,
2011 Ninth Working IEEE/IFIP Conference on [::Software::] [::Architecture::],2011,M. T. Su; J. Hosking; J. Grundy,Capturing Architecture Documentation Navigation Trails for Content Chunking and Sharing,10.1109/WICSA.2011.41,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5959779,Yes,Yes,Yes,Both,,,,,,,
2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,T. Gerlitz; S. Kowalewski,Architectural Analysis of MATLAB/Simulink Models with Artshop,10.1109/WICSA.2016.54,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516853,Yes,Yes,Yes,Both,,,,,,,
2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,R. L. Nord; R. Sangwan; J. Delange; P. Feiler; L. Thomas; I. Ozkaya,Missed Architectural Dependencies: The Elephant in the Room,10.1109/WICSA.2016.32,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516810,Yes,Yes,No,Michel,[Support_architectural_program_comprehension][Identify_and_resolve_issues_in_existing_system][Achieve_quality_attributes],[Evaluate_approach],[architectural_synthesis],[Architectural models],,[qualitative_analysis],[architectural_components][architectural_solutions]
2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,A. Nicolaescu; H. Lichter,Behavior-Based Architecture Reconstruction and Conformance Checking,10.1109/WICSA.2016.25,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516824,Yes,Yes,No,Michel,"[Architectural_solutions_growth,_limitations_and_complexities][Support_architectural_program_comprehension]",[Evaluate_approach],,,,,
2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,J. Klein; I. Gorton; L. Alhmoud; J. Gao; C. Gemici; R. Kapoor; P. Nair; V. Saravagi,Model-Driven Observability for Big Data Storage,10.1109/WICSA.2016.27,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516821,Yes,Yes,No,Michel,[Capture_architectural_knowledge][Achieve_quality_attributes],[Evaluate_approach],,[Runtime performance],,,
2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,E. Yuan; S. Malek,Mining Software Component Interactions to Detect Security Threats at the Architectural Level,10.1109/WICSA.2016.12,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516831,Yes,Yes,No,Michel,[Identify_and_resolve_issues_in_existing_system][Achieve_quality_attributes],[Evaluate_approach],[architectural_analysis][architectural_evaluation],[Log events],,[model_analysis],[architectural_components][architectural_quality_issues]
2017 IEEE International Conference on [::Software::] [::Architecture::] (ICSA),2017,V. C. Pham; A. Radermacher; S. Gerard; S. Li,Bidirectional Mapping between Architecture Model and Code for Synchronization,10.1109/ICSA.2017.41,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7930223,Yes,Yes,No,Michel,[Limitations_in_existing_tools][Identify_and_resolve_issues_in_existing_system][Industrial_financial_costs],[Evaluate_approach],[architectural_analysis][architectural_synthesis],[Architectural models],,[extended_language],
ECSA,2020,Sandro SpethUwe BreitenbÅcherSteffen Becker,Gropius ? A Tool for Managing Cross-component Issues,10.1007/978-3-030-59155-7_7,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_7,Yes,Yes,No,Mohamed,,,,,,,
2020 IEEE International Conference on [::Software::] [::Architecture::] (ICSA),2020,A. Selmadji; A. Seriai; H. L. Bouziane; R. Oumarou Mahamane; P. Zaragoza; C. Dony,From Monolithic Architecture Style to Microservice one Based on a Semi-Automatic Approach,10.1109/ICSA47634.2020.00023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9101266,Yes,Yes,No,Mohamed,,,,,,,
2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,R. L. Nord; R. Sangwan; J. Delange; P. Feiler; L. Thomas; I. Ozkaya,Missed Architectural Dependencies: The Elephant in the Room,10.1109/WICSA.2016.32,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516810,Yes,Yes,No,Michel,[Support_architectural_program_comprehension][Identify_and_resolve_issues_in_existing_system][Achieve_quality_attributes],[Evaluate_approach],[architectural_synthesis],[Architectural models],,[qualitative_analysis],[architectural_components][architectural_solutions]
2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,A. Nicolaescu; H. Lichter,Behavior-Based Architecture Reconstruction and Conformance Checking,10.1109/WICSA.2016.25,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516824,Yes,Yes,No,Michel,"[Architectural_solutions_growth,_limitations_and_complexities][Support_architectural_program_comprehension]",[Evaluate_approach],,,,,
2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,J. Klein; I. Gorton; L. Alhmoud; J. Gao; C. Gemici; R. Kapoor; P. Nair; V. Saravagi,Model-Driven Observability for Big Data Storage,10.1109/WICSA.2016.27,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516821,Yes,Yes,No,Michel,[Capture_architectural_knowledge][Achieve_quality_attributes],[Evaluate_approach],,[Runtime performance],,,
2017 IEEE International Conference on [::Software::] [::Architecture::] (ICSA),2017,V. C. Pham; A. Radermacher; S. Gerard; S. Li,Bidirectional Mapping between Architecture Model and Code for Synchronization,10.1109/ICSA.2017.41,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7930223,Yes,Yes,No,Michel,[Limitations_in_existing_tools][Identify_and_resolve_issues_in_existing_system][Industrial_financial_costs],[Evaluate_approach],[architectural_analysis][architectural_synthesis],[Architectural models],,[extended_language],
2015 12th Working IEEE/IFIP Conference on [::Software::] [::Architecture::],2015,J. Y. Bang; N. Medvidovic,Proactive Detection of Higher-Order Software Design Conflicts,10.1109/WICSA.2015.15,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7158517,Yes,Yes,No,Mohamed,,,,,,,
2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,J. Peters; J. M. E. M. van der Werf; J. Hage,Architectural Pattern Definition for Semantically Rich Modular Architectures,10.1109/WICSA.2016.50,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516839,Yes,Yes,No,Mohamed,,,,,,,
2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,F. A. Fontana; R. Roveda; M. Zanoni; C. Raibulet; R. Capilla,An Experience Report on Detecting and Repairing Software Architecture Erosion,10.1109/WICSA.2016.37,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516808,Yes,Yes,No,Mohamed,,,,,,,
2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,?Å. Darvas; R. Konnerth,System Architecture Recovery Based on Software Structure Model,10.1109/WICSA.2016.22,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516817,Yes,Yes,No,Mohamed,,,,,,,
2017 IEEE International Conference on [::Software::] [::Architecture::] (ICSA),2017,J. Y. Bang; Y. Brun; N. Medvidovic,Continuous Analysis of Collaborative Design,10.1109/ICSA.2017.45,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7930205,Yes,Yes,No,Mohamed,,,,,,,
2017 IEEE International Conference on [::Software::] [::Architecture::] (ICSA),2017,C. Paterson; R. Calinescu,Accurate Analysis of Quality Properties of Software with Observation-Based Markov Chain Refinement,10.1109/ICSA.2017.14,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7930208,Yes,Yes,No,Mohamed,,,,,,,
ECSA,2010,Sylvain ChardignyAbdelhak Seriai,Software Architecture Recovery Process Based on Object-Oriented Source Code and Documentation,10.1007/978-3-642-15114-9_35,http://link.springer.com/chapter/10.1007/978-3-642-15114-9_35,Yes,Yes,Yes,Both,,,,,,,
ECSA,2016,Ersin ErsoyKamer KayaMetin Alt?n???kHasan Sîzer,Using Hypergraph Clustering for Software Architecture Reconstruction of Data-Tier Software,10.1007/978-3-319-48992-6_24,http://link.springer.com/chapter/10.1007/978-3-319-48992-6_24,Yes,Yes,No,Michel,[Support_architectural_program_comprehension][Support_Generalisability][Achieve_quality_attributes],[Exploratory],[architectural_synthesis][architectural_evaluation],[source code repository],,[machine_learning][model_analysis],[architectural_components]
ECSA,2017,Georgios DigkasMircea LunguAlexander ChatzigeorgiouParis Avgeriou,The Evolution of Technical Debt in the Apache Ecosystem,10.1007/978-3-319-65831-5_4,http://link.springer.com/chapter/10.1007/978-3-319-65831-5_4,Yes,Yes,No,Michel,[Support_architectural_program_comprehension][Industrial_financial_costs],[Evaluate_approach],[architectural_analysis],[source code repository],,[code_analysis],[Correlations][architectural_quality_issues]
2017 IEEE International Conference on [::Software::] [::Architecture::] (ICSA),2017,N. A. Ernst; S. Bellomo; I. Ozkaya; R. L. Nord,What to Fix? Distinguishing between Design and Non-design Rules in Automated Tools,10.1109/ICSA.2017.25,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7930213,Yes,Yes,No,Michel,"[Architectural_solutions_growth,_limitations_and_complexities][Identify_and_resolve_issues_in_existing_system][Capture_architectural_knowledge]",[Evaluate_approach],[architectural_evaluation],[Runtime performance],,[qualitative_analysis],[quality_requirements]
